Hr Org Unit Key,Hr Org Unit Id,Hr Org Unit Title,Hr Org Unit Level,Hr Department Id,Hr Department Code,Hr Department Code Old,Hr Department Name,Hr Department Name Long,Hr Department Name Alpha,Org Hier School Area Name,Org Hier Top Level Name,Org Hier Root Name,Hr Org Level1 Id,Hr Org Level1 Sort,Hr Org Level1 Name,Hr Org Level2 Id,Hr Org Level2 Sort,Hr Org Level2 Name,Hr Org Level3 Id,Hr Org Level3 Sort,Hr Org Level3 Name,Hr Org Level4 Id,Hr Org Level4 Sort,Hr Org Level4 Name,Hr Org Level5 Id,Hr Org Level5 Sort,Hr Org Level5 Name,Dlc Key,Dlc Name,Warehouse Load Date
O10003233,10003233,Literature Area,ORGANIZATION LEVEL,,,,,,,"Humanities, Arts, & Social Sciences Area",Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000020.0,85.0,"Humanities, Arts, & Social Sciences Area",10003233.0,97.0,Literature Area,,,,,,01/08/16 01:03 AM
O10003033,10003033,Amgen Scholars,DEPARTMENTS,10003033.0,HR-444100,444100.0,Amgen Scholars,Amgen Scholars,Amgen Scholars,Dean for Undergraduate Education Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000013.0,182.0,Dean for Undergraduate Education Area,10002984.0,189.0,UAAP Area,10003033.0,191.0,Amgen Scholars,D_UAAP,Undergraduate Advising and Academic Programs,01/08/16 01:03 AM
O10000606,10000606,Office of the Arts,DEPARTMENTS,10000606.0,HR-401813,401813.0,Office of the Arts,Office of the Arts,Office of the Arts,Associate Provost for the Arts,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000006.0,136.0,Associate Provost for the Arts,10000606.0,139.0,Office of the Arts,,,,D_ARTS,Office of The Arts,01/08/16 01:03 AM
O10000673,10000673,MIT Investment Management Company,DEPARTMENTS,10000673.0,HR-420000,420000.0,MIT Investment Management Company,MIT Investment Management Company,MIT Investment Management Company,Executive Vice President Area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10000673.0,422.0,MIT Investment Management Company,,,,,,,D_MITIMCO,MIT Investment Management Company,01/08/16 01:03 AM
O10000361,10000361,Anthropology Program,DEPARTMENTS,10000361.0,HR-093200,93200.0,Anthropology Program,Anthropology Program,Anthropology Program,"Humanities, Arts, & Social Sciences Area",Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000020.0,85.0,"Humanities, Arts, & Social Sciences Area",10000361.0,86.0,Anthropology Program,,,,D_ANTHRO,Anthropology,01/08/16 01:03 AM
O10004133,10004133,Center for Advanced Urbanism,DEPARTMENTS,10004133.0,HR-030001,30001.0,Center for Advanced Urbanism,Center for Advanced Urbanism,Center for Advanced Urbanism,Architecture & Planning Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000005.0,7.0,Architecture & Planning Area,10004133.0,12.0,Center for Advanced Urbanism,,,,D_ARCH,Architecture,01/08/16 01:03 AM
O10000576,10000576,Francis Bitter Magnet Laboratory,DEPARTMENTS,10000576.0,HR-265000,265000.0,Francis Bitter Magnet Laboratory,Francis Bitter Magnet Laboratory,Francis Bitter Magnet Laboratory,VP Research,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000032.0,281.0,VP Research,10000576.0,301.0,Francis Bitter Magnet Laboratory,,,,D_MAGLAB,Francis Bitter Magnet Laboratory,01/08/16 01:03 AM
O10000365,10000365,Music and Theater Arts Section,DEPARTMENTS,10000365.0,HR-093700,93700.0,Music and Theater Arts Section,Music and Theater Arts Section,Music and Theater Arts Section,"Humanities, Arts, & Social Sciences Area",Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000020.0,85.0,"Humanities, Arts, & Social Sciences Area",10000365.0,88.0,Music and Theater Arts Section,,,,D_MTA,Music & Theater Arts,01/08/16 01:03 AM
O10000792,10000792,Medical,DEPARTMENTS,10000792.0,HR-495000,495000.0,Medical,Medical Department,Medical Department,Executive Vice President Area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10000792.0,317.0,Medical,,,,,,,D_MEDICAL,MIT Medical Department,01/08/16 01:03 AM
O10000549,10000549,Harvard/MIT Division of HST,DEPARTMENTS,10000549.0,HR-161000,161000.0,Harvard/MIT Division of HST,Harvd-MIT Division of Health Sciences & Technology,Harvd-MIT Division of Health Sciences & Technology,Whitaker,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000036.0,312.0,Whitaker,10000549.0,314.0,Harvard/MIT Division of HST,,,,D_HST,Harvard-MIT Health Sciences & Technology,01/08/16 01:03 AM
