Hr Org Unit Key,Hr Org Unit Id,Hr Org Unit Title,Hr Org Unit Level,Hr Department Id,Hr Department Code,Hr Department Code Old,Hr Department Name,Hr Department Name Long,Hr Department Name Alpha,Org Hier School Area Name,Org Hier Top Level Name,Org Hier Root Name,Hr Org Level1 Id,Hr Org Level1 Sort,Hr Org Level1 Name,Hr Org Level2 Id,Hr Org Level2 Sort,Hr Org Level2 Name,Hr Org Level3 Id,Hr Org Level3 Sort,Hr Org Level3 Name,Hr Org Level4 Id,Hr Org Level4 Sort,Hr Org Level4 Name,Hr Org Level5 Id,Hr Org Level5 Sort,Hr Org Level5 Name,Dlc Key,Warehouse Load Date
O10000734,10000734,Office of Academic Services,DEPARTMENTS,10000734,HR-441400,441400,Office of Academic Services,Office of Academic Services,Office of Academic Services,Dean for Undergraduate Education Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000013,182.00,Dean for Undergraduate Education Area,10000734,214.00,Office of Academic Services,"","","",D_ACAD,01/08/16 01:03 AM
O10000748,10000748,Dean for Student Life-Administration,DEPARTMENTS,10000748,HR-442040,442040,Dean for Student Life-Administration,Office of the Dean for Student Life - Administratn,Dean for Student Life-Administration,Dean for Student Life Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000012,140.00,Dean for Student Life Area,10000099,155.00,Dean for Student Life Offices,10000748,158.00,Dean for Student Life-Administration,D_DSL:HQ,01/08/16 01:03 AM
O10000751,10000751,"Dean of Humanities, Arts, and Social Sci",DEPARTMENTS,10000751,HR-442300,442300,"Dean of Humanities, Arts, and Social Sci","Office of the Dean of Humanities, Arts & Social Sc",Dean of Humanities and Social Science,"Humanities, Arts, & Social Sciences Area",Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000020,85.00,"Humanities, Arts, & Social Sciences Area",10000751,94.00,"Dean of Humanities, Arts, and Social Sci","","","",D_DHSS,01/08/16 01:03 AM
O10000789,10000789,Institute Affairs,DEPARTMENTS,10000789,HR-490000,490000,Institute Affairs,Institute Affairs,Institute Affairs,VP & Secretary of Corp Area,President & Chairman of the Corporation,MIT-All,10000000,1.00,MIT-All,10000003,425.00,President & Chairman of the Corporation,10000256,426.00,VP & Secretary of Corp Area,10003833,428.00,VP for Institute Affairs Area,10000789,429.00,Institute Affairs,D_VP_SEC_CORP,01/08/16 01:03 AM
O10000804,10000804,DAPER Intercollegiate Sports,DEPARTMENTS,10000804,HR-501000,501000,DAPER Intercollegiate Sports,DAPER Intercollegiate Sports,DAPER Intercollegiate Sports,Dean for Student Life Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000012,140.00,Dean for Student Life Area,10000805,175.00,"Dept of Athletics, Phys Ed, & Recreation",10000804,176.00,DAPER Intercollegiate Sports,D_ATHLETICS,01/08/16 01:03 AM
O10000911,10000911,Credit Union,DEPARTMENTS,10000911,HR-872000,872000,Credit Union,Credit Union,Credit Union,Other Org Units,Other Org Units,MIT-All,10000000,1.00,MIT-All,19999000,437.00,Other Org Units,10000911,438.00,Credit Union,"","","","","","",D_CREDITUNION,01/08/16 01:03 AM
O10000921,10000921,DAPER Administration,DEPARTMENTS,10000921,HR-501100,501100,DAPER Administration,DAPER Administration,DAPER Administration,Dean for Student Life Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000012,140.00,Dean for Student Life Area,10000805,175.00,"Dept of Athletics, Phys Ed, & Recreation",10000921,178.00,DAPER Administration,D_ATHLETICS,01/08/16 01:03 AM
O10000924,10000924,DAPER Community Programs,DEPARTMENTS,10000924,HR-501400,501400,DAPER Community Programs,DAPER Community Programs,DAPER Community Programs,Dean for Student Life Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000012,140.00,Dean for Student Life Area,10000805,175.00,"Dept of Athletics, Phys Ed, & Recreation",10000924,181.00,DAPER Community Programs,D_ATHLETICS,01/08/16 01:03 AM
O10004909,10004909,MIT Environmental Solutions Initiative,DEPARTMENTS,10004909,HR-402400,402400,MIT Environmental Solutions Initiative,MIT Environmental Solutions Initiative,MIT Environmental Solutions Initiative,VP Research,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000032,281.00,VP Research,10004909,296.00,MIT Environmental Solutions Initiative,"","","",D_MITESI,01/08/16 01:03 AM
O10003486,10003486,HR/Payroll,DEPARTMENTS,10003486,HR-423500,423500,HR/Payroll,HR/Payroll,HR/Payroll,VP for Finance Area,Executive Vice President Area,MIT-All,10000000,1.00,MIT-All,10000002,316.00,Executive Vice President Area,10003333,323.00,VP for Finance Area,10003683,326.00,Financial Operations Area,10003486,328.00,HR/Payroll,D_CAS,01/08/16 01:03 AM
O10000757,10000757,Educational Council,DEPARTMENTS,10000757,HR-446300,446300,Educational Council,Educational Council,Educational Council,Dean for Undergraduate Education Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000013,182.00,Dean for Undergraduate Education Area,10000041,197.00,Admissions Office Area,10000757,199.00,Educational Council,D_ADM,01/08/16 01:03 AM
O10003634,10003634,Athletic Development,DEPARTMENTS,10003634,HR-410080,410080,Athletic Development,Athletic Development,Athletic Development,VP for Resource Development,Executive Vice President Area,MIT-All,10000000,1.00,MIT-All,10000002,316.00,Executive Vice President Area,10000035,401.00,VP for Resource Development,10000187,402.00,Office VP Resource Development,10003634,403.00,Athletic Development,D_RESDEV,01/08/16 01:03 AM
O10003858,10003858,Fin and Ops for Alum Assoc and Res Dev,DEPARTMENTS,10003858,HR-410003,410003,Fin and Ops for Alum Assoc and Res Dev,Fin and Ops for Alumni Association & Resource Dev,Fin and Ops for Alumni Association & Resource Dev,VP for Resource Development,Executive Vice President Area,MIT-All,10000000,1.00,MIT-All,10000002,316.00,Executive Vice President Area,10000035,401.00,VP for Resource Development,10000187,402.00,Office VP Resource Development,10003858,405.00,Fin and Ops for Alum Assoc and Res Dev,D_RESDEV,01/08/16 01:03 AM
