Fclt Building Address Key,Fclt Building Key,Fiscal Period,Fclt Building Address Hist Key,Building Number,Address Purpose,Address City Id,Is E911 Address,Street Number,Street Number Suffix,Pre Directional,Street Name,Street Suffix,Post Directional,City,State,Postal Code,Warehouse Load Date
W70G-E911_1,W70G,201509,W70G-E911_1-201509,W70G,E911_1,"","",471,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70G-E911_2,W70G,201509,W70G-E911_2-201509,W70G,E911_2,"","",476,"","",MEMORIAL,DRIVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W70G-STREET,W70G,201509,W70G-STREET-201509,W70G,STREET,"","",471-476,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W71-E911_1,W71,201509,W71-E911_1-201509,W71,E911_1,593,"",500,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W71-MAIL,W71,201509,W71-MAIL-201509,W71,MAIL,593,"",500,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W71-PARCL1,W71,201509,W71-PARCL1-201509,W71,PARCL1,"","",MEM531,"","","","","","","",02139,04/01/15 05:12 AM
W71-PARCL2,W71,201509,W71-PARCL2-201509,W71,PARCL2,"","",MEM430,"","","","","","","",02139,04/01/15 05:12 AM
W71-STREET,W71,201509,W71-STREET-201509,W71,STREET,593,"",500,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W79-E911_1,W79,201509,W79-E911_1-201509,W79,E911_1,4628,"",229,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W79-MAIL,W79,201509,W79-MAIL-201509,W79,MAIL,4628,"",229,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W79-STREET,W79,201509,W79-STREET-201509,W79,STREET,4628,"",229,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W84-E911_1,W84,201509,W84-E911_1-201509,W84,E911_1,589,"",550,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W84-MAIL,W84,201509,W84-MAIL-201509,W84,MAIL,589,"",550,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W84-PARCL1,W84,201509,W84-PARCL1-201509,W84,PARCL1,"","",MEM531R,"","","","","","","",02139,04/01/15 05:12 AM
W84-PARCL2,W84,201509,W84-PARCL2-201509,W84,PARCL2,"","",MEM531,"","","","","","","",02139,04/01/15 05:12 AM
W84-STREET,W84,201509,W84-STREET-201509,W84,STREET,589,"",550,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85-E911_1,W85,201509,W85-E911_1-201509,W85,E911_1,591,"",540,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85-MAIL,W85,201509,W85-MAIL-201509,W85,MAIL,"","",WESTGATE,"","","","","","","",02139,04/01/15 05:12 AM
W85-PARCL1,W85,201509,W85-PARCL1-201509,W85,PARCL1,"","",MEM545R,"","","","","","","",02139,04/01/15 05:12 AM
W85-STREET,W85,201509,W85-STREET-201509,W85,STREET,"","",540,"","",MEMORIAL,DR,(Rear),CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85A-E911_1,W85A,201509,W85A-E911_1-201509,W85A,E911_1,26740,"",11,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85A-PARCL1,W85A,201509,W85A-PARCL1-201509,W85A,PARCL1,"","",MEM545R,"","","","","","","",02139,04/01/15 05:12 AM
W85A-STREET,W85A,201509,W85A-STREET-201509,W85A,STREET,26740,"",11,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85ABC-E911_1,W85ABC,201509,W85ABC-E911_1-201509,W85ABC,E911_1,26740,"",11,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85ABC-E911_2,W85ABC,201509,W85ABC-E911_2-201509,W85ABC,E911_2,27034,"",13,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85ABC-E911_3,W85ABC,201509,W85ABC-E911_3-201509,W85ABC,E911_3,27325,"",15,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85ABC-STREET,W85ABC,201509,W85ABC-STREET-201509,W85ABC,STREET,"","",11-13-15,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85B-E911_1,W85B,201509,W85B-E911_1-201509,W85B,E911_1,27034,"",13,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85B-PARCL1,W85B,201509,W85B-PARCL1-201509,W85B,PARCL1,"","",MEM545R,"","","","","","","",02139,04/01/15 05:12 AM
