Subject Key,Subject Offered Summary Key,Master Subject Key,Composite Subject Key,Term Code,Master Course Number,Master Course Number Sort,Master Course Number Desc,Master Subject Id,Master Subject Id Sort,Course Number,Course Number Sort,Course Number Desc,Subject Id,Subject Id Sort,Subject Title,Section Id,Is Master Section,Is Lecture Section,Is Lab Section,Is Recitation Section,Is Design Section,Offer Dept Code,Offer Dept Name,Offer School Name,Responsible Faculty Name,Responsible Faculty Mit Id,Meet Time,Meet Place,Cluster Type,Cluster Type Desc,Cluster List,Hgn Code,Hgn Code Desc,Form Type,Form Type Desc,Subject Enrollment Number,Section Enrollment Number,Cluster Enrollment Number,Evaluate This Subject,Is Ose Subject,Is Created By Data Warehouse,Subject Grouping Key,Warehouse Load Date,Num Enrolled Students,Subject Summary Key,Is Repeatable Subject
0150630001997SU,15.0631997SU,0150630001997SU,15.0631997SU,1997SU,15,15,Management,15.063,15.063,15,15,Management,15.063,15.063,Mgt Decision Support Models,0,Y,N,N,N,N,15,Management,Sloan School of Management,,,,,,,,G,Graduate program,,,57,57,,N,,N,86CD64958F7F0327E0440003BACE90BC,5/8/01 0:00,57,15.0631997SU,N
0150750001997SU,15.0751997SU,0150750001997SU,15.0751997SU,1997SU,15,15,Management,15.075,15.075,15,15,Management,15.075,15.075,Applied Statistics,0,Y,N,N,N,N,15,Management,Sloan School of Management,,,,,,,,H,Higher level graduate program,,,0,,,N,,N,86CD64958F810327E0440003BACE90BC,5/8/01 0:00,0,15.0751997SU,N
0153160001997SU,15.3161997SU,0153160001997SU,15.3161997SU,1997SU,15,15,Management,15.316,15.316,15,15,Management,15.316,15.316,Organiz Leadership & Change,0,Y,N,N,N,N,15,Management,Sloan School of Management,,,,,,,,H,Higher level graduate program,,,42,42,,N,,N,86CD64958F820327E0440003BACE90BC,5/8/01 0:00,42,15.3161997SU,Y
0153610001997SU,15.3611997SU,0153610001997SU,15.3611997SU,1997SU,15,15,Management,15.361,15.361,15,15,Management,15.361,15.361,The Human Side of Technology,0,Y,N,N,N,N,15,Management,Sloan School of Management,,,,,,,,H,Higher level graduate program,,,56,56,,N,,N,86CD64958F830327E0440003BACE90BC,5/8/01 0:00,56,15.3611997SU,N
0155120001997SU,15.5121997SU,0155120001997SU,15.5121997SU,1997SU,15,15,Management,15.512,15.512,15,15,Management,15.512,15.512,Managerial & Finanl Accounting,0,Y,N,N,N,N,15,Management,Sloan School of Management,,,,,,,,G,Graduate program,,,56,56,,N,,N,86CD64958F860327E0440003BACE90BC,5/8/01 0:00,56,15.5121997SU,N
0155150001997SU,15.5151997SU,0155150001997SU,15.5151997SU,1997SU,15,15,Management,15.515,15.515,15,15,Management,15.515,15.515,Financial & Managerial Acctg,0,Y,N,N,N,N,15,Management,Sloan School of Management,,,,,,,,G,Graduate program,,,49,49,,N,,N,86CD64958F870327E0440003BACE90BC,5/8/01 0:00,49,15.5151997SU,N
0157610001997SU,15.7611997SU,0157610001997SU,15.7611997SU,1997SU,15,15,Management,15.761,15.761,15,15,Management,15.761,15.761,Operations Management,0,Y,N,N,N,N,15,Management,Sloan School of Management,,,,,,,,H,Higher level graduate program,,,78,78,,N,,N,86CD64958F890327E0440003BACE90BC,5/8/01 0:00,78,15.7611997SU,N
0157790001997SU,15.7791997SU,0157790001997SU,15.7791997SU,1997SU,15,15,Management,15.779,15.779,15,15,Management,15.779,15.779,Manufacturing Management,0,Y,N,N,N,N,15,Management,Sloan School of Management,,,,,,,,H,Higher level graduate program,,,80,80,,N,,N,86CD64958F8C0327E0440003BACE90BC,5/8/01 0:00,80,15.7791997SU,N
0157940001997SU,15.7941997SU,0157940001997SU,15.7941997SU,1997SU,15,15,Management,15.794,15.794,15,15,Management,15.794,15.794,Research Proj in Manufacturing,0,Y,N,N,N,N,15,Management,Sloan School of Management,,,,,,,,H,Higher level graduate program,,,48,48,,N,,N,86CD64958F8D0327E0440003BACE90BC,5/8/01 0:00,48,15.7941997SU,Y
0159610001997SU,15.9611997SU,0159610001997SU,15.9611997SU,1997SU,15,15,Management,15.961,15.961,15,15,Management,15.961,15.961,Spec Studies in Management,0,Y,N,N,N,N,15,Management,Sloan School of Management,"Hill, Cindy",900021511,,,,,,H,Higher level graduate program,,,2,2,,N,,N,86CD64958F8E0327E0440003BACE90BC,5/8/01 0:00,2,15.9611997SU,Y
015THG0001997SU,15.THG1997SU,015THG0001997SU,15.THG1997SU,1997SU,15,15,Management,15.THG, 15.THG,15,15,Management,15.THG, 15.THG,Thesis,0,Y,N,N,N,N,15,Management,Sloan School of Management,,,,,,,,H,Higher level graduate program,,,37,37,,N,,N,86CD64958F910327E0440003BACE90BC,5/8/01 0:00,37,15.THG1997SU,Y
015URG0001997SU,15.URG1997SU,015URG0001997SU,15.URG1997SU,1997SU,15,15,Management,15.URG, 15.URG,15,15,Management,15.URG, 15.URG,Undergraduate Research,0,Y,N,N,N,N,15,Management,Sloan School of Management,,,,,,,,N,Not for graduate credit,,,2,2,,N,,N,86CD64958F920327E0440003BACE90BC,5/8/01 0:00,2,15.URG1997SU,Y
016670001997SU,16.671997SU,016670001997SU,16.671997SU,1997SU,16,16,Aeronautics and Astronautics,16.67,16.67,16,16,Aeronautics and Astronautics,16.67,16.67,Engineering Internship,0,Y,N,N,N,N,16,Aeronautics and Astronautics,Engineering,,,,,,,,N,Not for graduate credit,,,6,6,,N,,N,86CD64958F050327E0440003BACE90BC,5/8/01 0:00,6,16.671997SU,Y
0168800001997SU,16.8801997SU,0168800001997SU,16.8801997SU,1997SU,16,16,Aeronautics and Astronautics,16.88,16.88,16,16,Aeronautics and Astronautics,16.88,16.88,Systems Engineering,0,Y,N,N,N,N,16,Aeronautics and Astronautics,Engineering,,,,,,,,H,Higher level graduate program,,,39,39,,N,,N,86CD64958F940327E0440003BACE90BC,5/8/01 0:00,39,16.8801997SU,N
016NIV0001997SU,16.NIV1997SU,016NIV0001997SU,16.NIV1997SU,1997SU,16,16,Aeronautics and Astronautics,16.NIV, 16.NIV,16,16,Aeronautics and Astronautics,16.NIV, 16.NIV,Visiting Student Research,0,Y,N,N,N,N,16,Aeronautics and Astronautics,Engineering,,,,,,,,N,Not for graduate credit,,,2,2,,N,,N,,5/8/01 0:00,2,16.NIV1997SU,Y
0016990001997SU,1.6991997SU,0139990001997SU,13.9991997SU,1997SU,13,13,Ocean Engineering,13.999,13.999,1,1,Civil and Environmental Eng,1.699,1.699,Spec Projects: Ocean Eng,0,Y,N,N,N,N,1,Civil and Environmental Eng,Engineering,"Peirson, A",JPEIRWHOI,,,J,Joint subject,"1.699, 13.999",H,Higher level graduate program,,,1,1,4,N,,N,86CD64958F730327E0440003BACE90BC,5/8/01 0:00,1,1.6991997SU,Y
001920001997SU,1.921997SU,001920001997SU,1.921997SU,1997SU,1,1,Civil and Environmental Eng,1.92,1.92,1,1,Civil and Environmental Eng,1.92,1.92,Adv Civ & Envir Eng Internship,0,Y,N,N,N,N,1,Civil and Environmental Eng,Engineering,,,,,,,,G,Graduate program,,,0,,,N,,N,86CD64958EE60327E0440003BACE90BC,5/8/01 0:00,0,1.921997SU,N
0019680001997SU,1.9681997SU,0019680001997SU,1.9681997SU,1997SU,1,1,Civil and Environmental Eng,1.968,1.968,1,1,Civil and Environmental Eng,1.968,1.968,Grad Studies: Civil & Env Eng,0,Y,N,N,N,N,1,Civil and Environmental Eng,Engineering,"Stewart, Cynthia",900018738,,,,,,G,Graduate program,,,1,1,,N,,N,86CD64958EF70327E0440003BACE90BC,5/8/01 0:00,1,1.9681997SU,Y
0019820001997SU,1.9821997SU,0019820001997SU,1.9821997SU,1997SU,1,1,Civil and Environmental Eng,1.982,1.982,1,1,Civil and Environmental Eng,1.982,1.982,Research: Civil & Environ Eng,0,Y,N,N,N,N,1,Civil and Environmental Eng,Engineering,,,,,,,,G,Graduate program,,,67,67,,N,,N,86CD64958EF90327E0440003BACE90BC,5/8/01 0:00,67,1.9821997SU,Y
001NIV0001997SU,1.NIV1997SU,001NIV0001997SU,1.NIV1997SU,1997SU,1,1,Civil and Environmental Eng,1.NIV,  1.NIV,1,1,Civil and Environmental Eng,1.NIV,  1.NIV,Visiting Student Research,0,Y,N,N,N,N,1,Civil and Environmental Eng,Engineering,,,,,,,,N,Not for graduate credit,,,2,2,,N,,N,,5/8/01 0:00,2,1.NIV1997SU,Y
006021R021998FA,6.0211998FA,006021R021998FA,6.0211998FA,1998FA,6,6,Electrical Eng & Computer Sci,6.021,6.021,6,6,Electrical Eng & Computer Sci,6.021,6.021,Quant Physiology:Cells&Tissues,R02,N,N,N,Y,N,6,Electrical Eng & Computer Sci,Engineering,,,TR12, 26-310,M,Meeting Together,"2.791, 2.794, 6.021, 6.521, HST.541",N,Not for graduate credit,,,,,,N,,N,86CD649591D10327E0440003BACE90BC,5/8/01 0:00,0,6.0211998FA,N
006034L011998FA,6.0341998FA,006034L011998FA,6.0341998FA,1998FA,6,6,Electrical Eng & Computer Sci,6.034,6.034,6,6,Electrical Eng & Computer Sci,6.034,6.034,Artificial Intelligence,L01,N,Y,N,N,N,6,Electrical Eng & Computer Sci,Engineering,,,MW9, 34-101,,,,N,Not for graduate credit,,,,,,N,,N,86CD649591D20327E0440003BACE90BC,5/8/01 0:00,0,6.0341998FA,N
