Hierarchy Type,Link Type Code,Link Type,Dlc Key,Dlc Code,Linked Object Key,Linked Object Code
Standard Hierarchy,ORGU,Old Org. Unit,D_D-LAB,D_D-LAB,440102,440102
Standard Hierarchy,FC,Standard Funds Center,D_EECS,D_EECS,FC_EECS255,FC_EECS255
Standard Hierarchy,FC,Standard Funds Center,D_EECS,D_EECS,FC_EECS226,FC_EECS226
Standard Hierarchy,ORG2,New Org. Unit,D_CAS,D_CAS,O10004484,10004484
Standard Hierarchy,FC,Standard Funds Center,D_PHYSICS,D_PHYSICS,FC208673,FC208673
Compact DLC Hierarchy,FC,Standard Funds Center,D_VPFINANCE,D_VPFINANCE,FC401034,FC401034
Compact DLC Hierarchy,FC,Standard Funds Center,D_VPFINANCE,D_VPFINANCE,FC_CAS07,FC_CAS07
Standard Hierarchy,FC,Standard Funds Center,D_VPFINANCE,D_VPFINANCE,FC_CAS07,FC_CAS07
Compact DLC Hierarchy,FC,Standard Funds Center,D_CEE,D_CEE,FC_CEE60,FC_CEE60
Standard Hierarchy,FC,Standard Funds Center,D_CEE,D_CEE,FC_CEE60,FC_CEE60
Standard Hierarchy,SIS,Student Systems Unit,D_SDM,D_SDM,EM,EM
Compact DLC Hierarchy,FC,Standard Funds Center,D_STS,D_STS,FC209331,FC209331
Compact DLC Hierarchy,ORGU,Old Org. Unit,D_SLOAN,D_SLOAN,121042,121042
Compact DLC Hierarchy,PMIT,PCMIT-0 Profit Center,D_FACILITIES,D_FACILITIES,P591300-001,P591300
Compact DLC Hierarchy,FC,Standard Funds Center,D_ARCH,D_ARCH,FC208840,FC208840
Compact DLC Hierarchy,FC,Standard Funds Center,D_LFEE,D_LFEE,FC_LFEE253,FC_LFEE253
Standard Hierarchy,FC,Standard Funds Center,D_LFEE,D_LFEE,FC_LFEE253,FC_LFEE253
Standard Hierarchy,FC,Standard Funds Center,D_LFEE,D_LFEE,FC_LFEE298,FC_LFEE298
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC205862,FC205862
Standard Hierarchy,FC,Standard Funds Center,D_SLOAN,D_SLOAN,FC_SLOAN37,FC_SLOAN37
Compact DLC Hierarchy,FC,Standard Funds Center,D_CIS,D_CIS,FC_CIS24,FC_CIS24
Standard Hierarchy,ORG2,New Org. Unit,D_OEOP,D_OEOP,O10004958,10004958
Compact DLC Hierarchy,FC,Standard Funds Center,D_CTL,D_CTL,FC206356,FC206356
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_BIOLOGY,D_BIOLOGY,P151073-001,P151073
Standard Hierarchy,FC,Standard Funds Center,D_AEROASTRO,D_AEROASTRO,FC_203661,FC_203661
Compact DLC Hierarchy,FC,Standard Funds Center,D_SLOAN,D_SLOAN,FC209508,FC209508
Standard Hierarchy,FC,Standard Funds Center,D_MTL,D_MTL,FC208939,FC208939
Compact DLC Hierarchy,FC,Standard Funds Center,D_MTL,D_MTL,FC208940,FC208940
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC200247,FC200247
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC201149,FC201149
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC201312,FC201312
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC201344,FC201344
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC201426,FC201426
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC202374,FC202374
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC204010,FC204010
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC204038,FC204038
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC204056,FC204056
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC204180,FC204180
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC204183,FC204183
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC204187,FC204187
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC205790,FC205790
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC207424,FC207424
Standard Hierarchy,FC,Standard Funds Center,D_SLOAN,D_SLOAN,FC209509,FC209509
Standard Hierarchy,FC,Standard Funds Center,D_OVPC,D_OVPC,FC_OVPC01,FC_OVPC01
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC200895,FC200895
Standard Hierarchy,FC,Standard Funds Center,D_J-WAFS,D_J-WAFS,FC100728,FC100728
Compact DLC Hierarchy,FC,Standard Funds Center,D_DMSE,D_DMSE,FC208942,FC208942
Compact DLC Hierarchy,FC,Standard Funds Center,D_DL,D_DL,FC401719,FC401719
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_DL,D_DL,P405002-001,P405002
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_DL,D_DL,P405007-001,P405007
