Fclt Building Hist Key,Fiscal Period,Fclt Building Key,Building Number,Parent Building Number,Parent Building Name,Parent Building Name Long,Building Name Long,Ext Gross Area,Assignable Area,Non Assignable Area,Site,Campus Sector,Access Level Code,Access Level Name,Building Type,Ownership Type,Building Use,Occupancy Class,Building Height,Cost Center Code,Cost Collector Key,Latitude Wgs,Longitude Wgs,Easting X Spcs,Northing Y Spcs,Building Sort,Building Named For,Building Name,Date Built,Date Acquired,Date Occupied,Warehouse Load Date,Num Of Rooms
WW25-201604,201604,WW25,WW25,"","","",Building WW25,"2,300.01","2,300",0,MIT,WESTWEST,2.00,2,SERVICE,LEASED,OTH,UGS1,"","","",42.35574,-71.10633,"762,572.95558","2,954,905.50793",WW25,-,BUILDING WW25,"","","",10/31/15 05:15 AM,2
NW12A-201604,201604,NW12A,NW12A,"","","",Nuclear Reactor Lab,382.61,311.78,0,MIT,NORTHWEST,0.00,0,ACADEMIC,OWNED,AER,UGB,0.00,"","","","","","",NW12A,-,BUILDING NW12A,03/21/14 12:00 AM,"","",10/31/15 05:15 AM,1
NW86P-201604,201604,NW86P,NW86P,"","","",70 Pacific Street Dormitory Garage,"52,869.94","42,666.46","6,075.51",MIT,NORTHWEST,2.00,2,SERVICE,OWNED,GAR,UGS2,"","","","","","","",NW86P,-,70 PACIFIC STREET DORMITORY GARAGE,02/01/01 12:00 AM,"",08/01/02 12:00 AM,10/31/15 05:15 AM,32
OC100-201604,201604,OC100,OC100,"","","",BUILDING OC100,"2,649.3","1,891.48",16.82,DC,OFFCAMPUS,1.00,1,ACADEMIC,LEASED,OTH,(NULL),"","","","","","","",OC100,-,BUILDING OC100,"","",07/01/91 12:00 AM,10/31/15 05:15 AM,11
OC19A-201604,201604,OC19A,OC19A,"","","",Bates LINAC: Administration Bldg,"6,766.98","5,452.11",715.94,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59904,-70.98094,"795,922.70284","3,043,751.42551",OC19A,-,BATES LINAC: ADMINISTRATION BLDG,"","","",10/31/15 05:15 AM,34
OC19B-201604,201604,OC19B,OC19B,"","","",Bates LINAC: Research Bldg,"13,810.89","10,426.98","1,578.19",BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59903,-70.98045,"796,055.78876","3,043,749.15224",OC19B,-,BATES LINAC: RESEARCH BLDG,"","","",10/31/15 05:15 AM,45
OC19C-201604,201604,OC19C,OC19C,"","","",BATES LINAC: North Experimental Hall,"6,081.18","5,375.22",11.05,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59839,-70.98029,"796,100.29527","3,043,518.70983",OC19C,-,BATES LINAC: NORTH EXPERIMENTAL HALL,"","","",10/31/15 05:15 AM,4
OC19D-201604,201604,OC19D,OC19D,"","","",BATES LINAC: Warehouse #2,"7,760.09","7,211.92",0,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59713,-70.97935,"796,355.41193","3,043,057.8885",OC19D,-,BATES LINAC: WAREHOUSE #2,"","","",10/31/15 05:15 AM,3
OC19E-201604,201604,OC19E,OC19E,"","","",BATES LINAC: Ring Service Building,"3,058.54","2,225.79",218.06,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59907,-70.979,"796,445.14395","3,043,766.62289",OC19E,-,BATES LINAC: RING SERVICE BUILDING,"","","",10/31/15 05:15 AM,7
OC19F-201604,201604,OC19F,OC19F,"","","",BATES LINAC: South Experimental Hall,"58,104.54","31,838.33","7,768.58",BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59834,-70.9815,"795,775.03719","3,043,495.98697",OC19F,-,BATES LINAC: SOUTH EXPERIMENTAL HALL,"","","",10/31/15 05:15 AM,48
OC19G-201604,201604,OC19G,OC19G,"","","",BATES LINAC: North Hall Exhaust,454.61,372.3,13.64,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59805,-70.98273,"795,443.12177","3,043,391.05789",OC19G,-,BATES LINAC: NORTH HALL EXHAUST,"","","",10/31/15 05:15 AM,2
NW22-201605,201605,NW22,NW22,"","","",Plasma Science And Fusion Center (NW22),"48,989.17","39,224.66","5,633.88",MIT,NORTHWEST,2.00,2,ACADEMIC,OWNED,AER,UGB,33.70,1842200,1842200,42.35964,-71.09972,"764,351.12835","2,956,335.31199",NW22,-,PLASMA SCIENCE & FUSION CENTER (NW22),"","",01/17/92 12:00 AM,12/01/15 05:12 AM,157
NW30-201605,201605,NW30,NW30,"","","",224 Albany Street,"85,812.19","50,160.21","23,182.63",MIT,NORTHWEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,75.00,1348100,1348100,42.35865,-71.09997,"764,285.32651","2,955,973.72159",NW30,-,224 ALBANY STREET,12/31/04 12:00 AM,10/01/58 12:00 AM,11/01/58 12:00 AM,12/01/15 05:12 AM,252
NW35-201605,201605,NW35,NW35,"","","",Ashdown House,"252,835.49","157,640.89","58,073.35",MIT,NORTHWEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,60.00,1345770,1345770,42.3588,-71.10144,"763,888.73286","2,956,026.74738",NW35,-,ASHDOWN HOUSE,01/01/08 12:00 AM,"",07/01/08 12:00 AM,12/01/15 05:12 AM,568
NW61-201605,201605,NW61,NW61,"","","",Random Hall,"39,469.53","25,567.13","7,590.42",MIT,NORTHWEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,48.30,1347400,1347400,42.36184,-71.09829,"764,735.81396","2,957,141.02766",NW61,-,RANDOM HALL,12/30/99 12:00 AM,"",12/31/68 12:00 AM,12/01/15 05:12 AM,185
NW86-201605,201605,NW86,NW86,"","","",70 Pacific Street Dormitory,"362,686.82","251,368.74","63,800.8",MIT,NORTHWEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,106.40,1348300,1348300,42.35972,-71.10222,"763,676.49545","2,956,361.96176",NW86,-,70 PACIFIC STREET DORMITORY,02/01/01 12:00 AM,"",08/01/02 12:00 AM,12/01/15 05:12 AM,710
OC11-201605,201605,OC11,OC11,"","","",1 Summer Street,"8,789.53","6,630.71",0,BOS,OFFCAMPUS,1.00,1,SERVICE,LEASED,AER,(NULL),"",1897100,1897100,"","","","",OC11,-,1 SUMMER STREET BOSTON MA,"","",01/01/08 12:00 AM,12/01/15 05:12 AM,2
OC1A-201605,201605,OC1A,OC1A,"","","",Edward Pennell Brooks Center,"15,136.28","9,683.6","3,351.5",END,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,UGR1A3,"","","",42.25434,-71.19439,"738,903.0968","2,917,857.95057",OC01A,EDWARD PENNELL BROOKS,EDWARD PENNELL BROOKS CENTER,12/31/82 12:00 AM,"",12/31/83 12:00 AM,12/01/15 05:12 AM,115
OC20-201605,201605,OC20,OC20,"","","",8 Tyler Street,"18,690.22","18,153.93",0,SOM,OFFCAMPUS,1.00,1,SERVICE,LEASED,AER,(NULL),0.00,"","","","","","",OC20,-,8 TYLER STREET,03/21/14 12:00 AM,"",02/06/12 12:00 AM,12/01/15 05:12 AM,5
OC21-201605,201605,OC21,OC21,"","","",Wallace Astrophysical Observatory,"3,109.94","2,815.19",0,HAY,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,UGBR3,"","","",42.61043,-71.48397,"660,483.31698","3,047,480.88144",OC21,GEORGE R. WALLACE JR.,WALLACE ASTROPHYSICAL OBSERVATORY,"","",10/14/71 12:00 AM,12/01/15 05:12 AM,16
